Date,^NSEI Open,^NSEI High,^NSEI Low,^NSEI Close,^NSEI Adj Close,BAJFINANCE.NS Open,BAJFINANCE.NS High,BAJFINANCE.NS Low,BAJFINANCE.NS Close,BAJFINANCE.NS Adj Close,HDFCBANK.NS Open,HDFCBANK.NS High,HDFCBANK.NS Low,HDFCBANK.NS Close,HDFCBANK.NS Adj Close,INFY.NS Open,INFY.NS High,INFY.NS Low,INFY.NS Close,INFY.NS Adj Close,NESTLEIND.NS Open,NESTLEIND.NS High,NESTLEIND.NS Low,NESTLEIND.NS Close,NESTLEIND.NS Adj Close
03/03/2021,15064.40039,15273.15039,14995.79981,15245.59961,15245.59961,5364.149902,5573.350098,5340.100098,5542.899902,5533.958008,1584,1596,1565,1586.849976,1580.011719,1319.199951,1347,1308,1343.550049,1317.530029,16705,16720,16546.65039,16699.25,16511.17773
04/03/2021,15026.75,15202.34961,14980.2002,15080.75,15080.75,5430,5567.149902,5401,5485.899902,5477.049805,1548.550049,1571,1539.099976,1552.050049,1545.361694,1335,1363.849976,1325.900024,1330.349976,1304.585693,16656.55078,16707.94922,16445,16661.80078,16474.14844
05/03/2021,14977.9502,15092.34961,14862.09961,14938.09961,14938.09961,5440,5519.75,5402.100098,5444.899902,5436.115723,1531,1545.599976,1521.099976,1530,1523.406738,1328.5,1340,1305.050049,1316.699951,1291.200073,16516,16840,16456,16782.90039,16593.88477
08/03/2021,15002.4502,15111.15039,14919.90039,14956.2002,14956.2002,5469,5493.950195,5311,5320.649902,5312.066406,1542,1555,1512.5,1519.5,1512.951904,1324.800049,1346.099976,1317.199951,1335.75,1309.881226,16725.05078,16900,16607,16852.44922,16662.65039
09/03/2021,15049.90039,15126.84961,14925.4502,15098.40039,15098.40039,5371,5445,5335,5415.049805,5406.313965,1545,1565.699951,1538.25,1562.5,1555.766602,1329.5,1350.449951,1318.75,1345.550049,1319.491455,16910.19922,16949.94922,16660,16910.80078,16720.3457
10/03/2021,15202.15039,15218.4502,15100.84961,15174.79981,15174.79981,5440,5561,5440,5545.049805,5536.104004,1572,1575,1552.150024,1555.75,1549.045776,1356.900024,1374,1355,1368.150024,1341.653687,16949.69922,17000,16785,16931.44922,16740.75977
12/03/2021,15321.15039,15336.29981,14953.59961,15030.9502,15030.9502,5600,5670,5521,5557.850098,5548.883789,1600,1600,1535.050049,1551.949951,1545.262085,1373,1391.699951,1370.050049,1374.849976,1348.223877,16977,17009.84961,16650,16722.44922,16534.11523
15/03/2021,15048.40039,15048.40039,14745.84961,14929.5,14929.5,5571.049805,5585.649902,5350.549805,5439.049805,5430.275391,1548.400024,1548.400024,1515.300049,1528.650024,1522.0625,1370,1379.900024,1358.5,1373.599976,1346.998047,16879.84961,16879.84961,16630,16833.05078,16643.4707
16/03/2021,14996.09961,15051.59961,14890.65039,14910.4502,14910.4502,5488.450195,5507,5420,5455.950195,5447.148438,1530.900024,1540.400024,1510,1512.150024,1505.633667,1386.050049,1406,1380.5,1384,1357.196777,16835,17020,16695,16741.94922,16553.39453
17/03/2021,14946.54981,14956.54981,14696.04981,14721.29981,14721.29981,5460,5460.399902,5344.450195,5359.799805,5351.152832,1524.25,1539,1490.199951,1495.349976,1488.906006,1392.25,1400,1382,1387,1360.13855,16790,16790,16340.04981,16455.75,16270.41895
18/03/2021,14855.5,14875.2002,14478.59961,14557.84961,14557.84961,5423,5545,5305,5371.850098,5363.184082,1511.75,1522.050049,1481.150024,1491,1484.574707,1393.75,1393.75,1313.5,1337.099976,1311.205078,16467.90039,16624.94922,16180,16201.25,16018.78613
19/03/2021,14471.15039,14788.25,14350.09961,14744,14744,5316,5479,5190.049805,5453.25,5444.452637,1485,1511.199951,1474.050049,1497.5,1491.046753,1330,1355.199951,1318,1344.449951,1318.412598,16200,16595,16070,16450.84961,16265.5752
22/03/2021,14736.29981,14763.90039,14597.84961,14736.40039,14736.40039,5446.5,5497,5337,5389.350098,5380.655762,1494.900024,1494.900024,1460.400024,1469.150024,1462.81897,1350.099976,1376,1336.099976,1370.800049,1344.252319,16451,16675,16351,16588.05078,16401.23047
